S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
397,2018-01-24,15,1775.00,1364360.00,783.00,766.00,775.00
398,2018-01-23,11,759.00,582484.00,774.00,766.00,768.00
399,2018-01-22,25,3875.00,3008430.00,790.00,770.00,770.00
400,2018-01-21,23,5020.00,3848460.00,780.00,757.00,774.00
401,2018-01-17,11,607.00,471184.00,780.00,772.00,772.00
402,2018-01-16,16,3043.00,2380412.00,790.00,779.00,784.00
403,2018-01-14,16,13680.00,10813530.00,805.00,790.00,798.00
404,2018-01-10,24,5198.00,4152310.00,805.00,790.00,790.00
405,2018-01-09,72,15419.00,12394205.00,816.00,775.00,800.00
406,2018-01-08,47,13390.00,10579680.00,816.00,777.00,790.00
407,2018-01-07,16,3730.00,2889620.00,783.00,770.00,775.00
408,2018-01-04,31,5470.00,4196820.00,785.00,760.00,778.00
409,2018-01-03,28,56085.00,43021635.00,786.00,760.00,761.00
410,2018-01-02,32,19920.00,15356460.00,790.00,770.00,782.00
411,2018-01-01,32,11090.00,8651785.00,800.00,775.00,775.00
412,2017-12-31,77,17490.00,13666590.00,827.00,772.00,778.00
413,2017-12-28,150,122210.00,103049079.00,850.00,837.00,843.00
414,2017-12-27,114,45171.00,37511305.00,848.00,811.00,839.00
415,2017-12-26,245,82110.00,69226205.00,867.00,839.00,860.00
416,2017-12-24,168,30830.00,26285395.00,872.00,840.00,850.00
417,2017-12-21,121,41068.00,35831705.00,903.00,857.00,860.00
418,2017-12-20,136,45630.00,40937140.00,920.00,886.00,886.00
419,2017-12-19,184,87000.00,79470290.00,950.00,900.00,900.00
420,2017-12-18,117,31478.00,29514014.00,952.00,915.00,940.00
421,2017-12-17,64,21125.00,19281275.00,930.00,906.00,930.00
422,2017-12-14,55,16271.00,14823380.00,935.00,900.00,920.00
423,2017-12-13,46,25024.00,22497465.00,910.00,885.00,905.00
424,2017-12-12,52,34826.00,31242555.00,910.00,890.00,893.00
425,2017-12-11,46,18890.00,16969260.00,904.00,886.00,901.00
426,2017-12-10,70,44000.00,39569325.00,908.00,890.00,900.00
427,2017-12-06,84,39965.00,35911195.00,902.00,893.00,895.00
428,2017-12-05,36,10685.00,9507065.00,899.00,882.00,893.00
429,2017-12-04,36,5847.00,5246636.00,920.00,891.00,899.00
430,2017-11-30,95,29111.00,26314915.00,920.00,899.00,904.00
431,2017-11-29,160,71771.00,65055580.00,917.00,888.00,903.00
432,2017-11-28,69,21315.00,18741655.00,900.00,860.00,900.00
433,2017-11-27,41,8670.00,7497775.00,875.00,850.00,863.00
434,2017-11-26,59,14187.00,12101004.00,859.00,849.00,859.00
435,2017-11-23,23,5010.00,4231580.00,848.00,840.00,844.00
436,2017-11-22,28,26181.00,22000740.00,850.00,835.00,839.00
437,2017-11-21,20,3165.00,2664262.00,850.00,835.00,840.00
438,2017-11-20,29,5195.00,4370155.00,845.00,835.00,845.00
439,2017-11-19,23,4894.00,4123820.00,845.00,840.00,843.00
440,2017-11-16,37,10575.00,9009255.00,870.00,841.00,850.00
441,2017-11-15,90,37362.00,31739619.00,862.00,838.00,853.00
442,2017-11-14,93,32070.00,27181430.00,853.00,840.00,846.00
443,2017-11-13,61,25598.00,21249296.00,856.00,820.00,840.00
444,2017-11-12,24,5750.00,4673920.00,820.00,800.00,820.00
445,2017-11-09,19,4120.00,3336480.00,820.00,807.00,814.00
446,2017-11-08,38,15870.00,12891735.00,815.00,806.00,815.00
447,2017-11-07,51,19050.00,15582153.00,822.00,816.00,817.00
448,2017-11-06,71,23240.00,18905960.00,820.00,801.00,820.00
449,2017-11-05,91,33250.00,27173542.00,830.00,800.00,817.00
450,2017-11-02,28,13210.00,10898270.00,830.00,819.00,827.00
451,2017-11-01,35,11822.00,9804308.00,842.00,825.00,834.00
452,2017-10-31,45,17003.00,14169600.00,840.00,826.00,840.00
453,2017-10-30,40,16520.00,13773130.00,836.00,830.00,836.00
454,2017-10-29,75,36075.00,30153380.00,843.00,826.00,840.00
455,2017-10-25,191,74095.00,62683564.00,867.00,838.00,842.00
456,2017-10-24,284,106758.00,91357226.00,876.00,830.00,865.00
457,2017-10-23,63,41780.00,33502900.00,820.00,797.00,820.00
458,2017-10-22,36,10060.00,8069720.00,815.00,794.00,802.00
459,2017-10-18,38,17610.00,13827900.00,795.00,778.00,790.00
460,2017-10-17,50,22395.00,17474675.00,785.00,775.00,780.00
461,2017-10-16,53,14485.00,11255700.00,783.00,770.00,779.00
462,2017-10-15,47,13400.00,10470625.00,785.00,775.00,780.00
463,2017-10-12,75,46090.00,35098170.00,790.00,750.00,780.00
464,2017-10-11,43,7845.00,5862770.00,765.00,735.00,746.00
465,2017-10-10,23,6740.00,4907300.00,735.00,721.00,735.00
466,2017-10-09,21,5855.00,4217440.00,725.00,717.00,725.00
467,2017-10-08,27,7775.00,5562240.00,720.00,710.00,718.00
468,2017-10-04,9,2965.00,2128265.00,724.00,715.00,724.00
469,2017-10-03,7,2180.00,1553001.00,718.00,711.00,718.00
470,2017-09-26,9,1570.00,1116400.00,715.00,710.00,715.00
471,2017-09-25,8,1260.00,894350.00,715.00,709.00,712.00
472,2017-09-24,20,5370.00,3811870.00,713.00,708.00,710.00
473,2017-09-20,16,3235.00,2285350.00,710.00,704.00,710.00
474,2017-09-18,15,1730.00,1221220.00,712.00,705.00,706.00
475,2017-09-17,21,5005.00,3537090.00,719.00,702.00,708.00
476,2017-09-14,19,6320.00,4443010.00,712.00,691.00,712.00
477,2017-09-13,18,6400.00,4512560.00,710.00,702.00,702.00
478,2017-09-12,35,8020.00,5634790.00,709.00,701.00,709.00
479,2017-09-11,24,5895.00,4130980.00,709.00,700.00,704.00
480,2017-09-10,31,9735.00,6837025.00,709.00,700.00,702.00
481,2017-09-07,34,7188.00,5083582.00,711.00,705.00,706.00
482,2017-09-06,36,7159.00,5055899.00,710.00,700.00,708.00
483,2017-09-04,27,4275.00,2990675.00,705.00,695.00,700.00
484,2017-08-31,21,5555.00,3904815.00,706.00,700.00,705.00
