S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
407,1/7/2018,91,18051,7598573,429,416,423
408,1/4/2018,61,5788,2425843,421,416,421
409,1/3/2018,115,15373,6515991,428,419,422
410,1/2/2018,240,55870,23639633,430,416,425
411,1/1/2018,48,6665,2726955,414,405,414
412,12/31/2017,93,27546,11089087,409,400,402
413,12/28/2017,74,9917,4064962,417,400,410
414,12/27/2017,73,11368,4701950,418,408,415
415,12/26/2017,30,7244,3040975,426,411,420
416,12/24/2017,48,7917,3341185,428,420,421
417,12/21/2017,28,7557,3178267,423,417,420
418,12/20/2017,29,3192,1350383,426,419,422
419,12/19/2017,38,8052,3410220,426,421,424
420,12/18/2017,39,4333,1839010,426,422,426
421,12/17/2017,35,6121,2599496,430,423,423
422,12/14/2017,59,5967,2540238,433,424,425
423,12/13/2017,22,4262,1812383,431,421,428
424,12/12/2017,46,15642,6693617,431,426,427
425,12/11/2017,51,12873,5506814,433,424,431
426,12/10/2017,46,11646,5072147,451,428,430
427,12/6/2017,47,9725,4204614,437,426,435
428,12/5/2017,51,6588,2837524,442,430,431
429,12/4/2017,46,10306,4465824,437,430,435
430,11/30/2017,63,10518,4566994,438,431,437
431,11/29/2017,87,19013,8283527,439,430,436
432,11/28/2017,40,12551,5401048,432,425,431
433,11/27/2017,42,6918,2983035,435,430,430
434,11/26/2017,71,10953,4710293,441,425,432
435,11/23/2017,52,7260,3103718,430,425,425
436,11/22/2017,39,5998,2539736,429,421,425
437,11/21/2017,30,4762,2015105,425,421,423
438,11/20/2017,33,4579,1923518,422,418,421
439,11/19/2017,72,13373,5575148,422,412,420
440,11/16/2017,56,13740,5797379,435,420,420
441,11/15/2017,56,3596,1544399,432,426,428
442,11/14/2017,65,14580,6256963,434,424,432
443,11/13/2017,69,14684,6245012,428,420,428
444,11/12/2017,59,9098,3815462,425,415,423
445,11/9/2017,64,9434,3918031,427,412,415
446,11/8/2017,126,17305,7217966,422,414,416
447,11/7/2017,80,26141,11088659,436,420,422
448,11/6/2017,139,29796,12642926,430,420,429
449,11/5/2017,84,16936,7255084,440,424,430
450,11/2/2017,58,8331,3632384,442,430,440
451,11/1/2017,51,6291,2725033,437,429,434
452,10/31/2017,38,8889,3866223,440,433,437
453,10/30/2017,71,13723,6029799,443,437,437
454,10/29/2017,51,7203,3185825,447,440,442
455,10/25/2017,93,17137,7675865,451,444,449
456,10/24/2017,59,9549,4278475,452,445,448
457,10/23/2017,79,12644,5695162,455,445,449
458,10/22/2017,44,11183,5051656,458,436,450
459,10/18/2017,53,12688,5628714,450,438,444
460,10/17/2017,64,12124,5388922,450,436,449
461,10/16/2017,87,18696,8294486,451,434,442
462,10/15/2017,49,5553,2393186,433,427,433
463,10/12/2017,45,5474,2357856,435,428,429
464,10/11/2017,65,11993,5132940,431,425,428
465,10/10/2017,89,19003,8118044,438,423,427
466,10/9/2017,76,17649,7561101,433,425,431
467,10/8/2017,91,15759,6712529,432,420,432
468,10/4/2017,40,6475,2854121,450,437,440
469,10/3/2017,20,3164,1415634,453,446,453
470,9/26/2017,35,5132,2286875,449,443,448
